parcel_id,platform_id,true_release_time,observed_release_time,true_deadline,observed_deadline,is_delayed,weight,fare,location_node,lng,lat
111667,,0.0,0.0,720.0,720.0,False,1.36,8.72,5213238430,30.66019,104.07225
112591,,0.0,0.0,720.0,720.0,False,0.15,8.0,1159230552,30.68748,104.09401
119918,,0.0,0.0,720.0,720.0,False,1.01,8.02,5436607851,30.6359757,104.0636458
170376,,0.0,0.0,720.0,720.0,False,1.7,9.4,5375783455,30.6225341,104.0086663
180608,,0.0,0.0,720.0,720.0,False,2.55,11.1,672405808,30.658065,104.0810186
190392,,0.0,0.0,720.0,720.0,False,0.08,8.0,314622896,30.6548869,104.0664771
191908,,0.0,0.0,720.0,720.0,False,0.05,8.0,1159453941,30.6612497,104.0448629
200888,,0.0,0.0,720.0,720.0,False,0.37,8.0,5141458205,30.6318208,104.0767349
201847,,0.0,0.0,720.0,720.0,False,0.47,8.0,4550701397,30.6200923,103.982772
205375,,0.0,0.0,720.0,720.0,False,1.73,9.46,4548259655,30.6541968,104.0385468
2348,,0.0,0.0,720.0,720.0,False,0.38,8.0,3516900112,30.6717433,104.0682074
34586,,0.0,0.0,720.0,720.0,False,1.22,8.44,3562045366,30.7028977,104.0406788
35469,,0.0,0.0,720.0,720.0,False,1.63,9.26,4991425468,30.6454057,103.9874058
37139,,0.0,0.0,720.0,720.0,False,0.05,8.0,1159231823,30.690027,104.08023
40262,,0.0,0.0,720.0,720.0,False,0.73,8.0,2908601185,30.6435054,104.0881332
41911,,0.0,0.0,720.0,720.0,False,2.07,10.14,4550018925,30.6514365,104.0548289
52643,,0.0,0.0,720.0,720.0,False,0.79,8.0,3562033458,30.7020194,104.0739529
71619,,0.0,0.0,720.0,720.0,False,0.96,8.0,441187228,30.67023,104.0634
80696,,0.0,0.0,720.0,720.0,False,1.18,8.36,3680455707,30.6593692,104.0138061
104096,,1.0,1.0,721.0,721.0,False,1.17,8.34,3196147285,30.7080823,104.0153959
104443,,1.0,1.0,721.0,721.0,False,0.22,8.0,4695640670,30.6161099,104.0253786
105259,,1.0,1.0,721.0,721.0,False,0.78,8.0,2472030046,30.6618,104.06255
127608,,1.0,1.0,721.0,721.0,False,2.99,11.98,3562047407,30.7106548,104.0448547
132335,,1.0,1.0,721.0,721.0,False,0.59,8.0,4548211429,30.6802549,104.0589444
137407,,1.0,1.0,721.0,721.0,False,0.62,8.0,4721452999,30.704542,104.08311
140403,,1.0,1.0,721.0,721.0,False,1.91,9.82,1159234181,30.69453,104.07557
