3,30.62126,103.98832,1425,9809,1.56,9.12
7,30.68042,104.09515,3640,1955,1.85,9.71
11,30.62095,104.09807,2300,12409,2.06,10.13
15,30.669424,104.114235,3238,7302,1.58,9.16
19,30.65347,104.0932,592,6375,0.48,8.00
23,30.64922,104.07947,3000,13674,0.29,8.00
27,30.68031,104.09538,4894,7542,0.88,8.00
31,30.67095,104.12436,753,6588,0.72,8.00
35,30.64256,104.09374,65,13162,1.93,9.86
39,30.6899,104.07345,45,11152,1.12,8.24
43,30.66189,104.10498,1785,9943,0.79,8.00
47,30.667854,104.10322,1200,6317,0.66,8.00
51,30.67049,104.06652,3501,10319,0.66,8.00
55,30.66979,104.02351,3937,7668,2.38,10.77
59,30.70021,104.0713,532,13891,0.31,8.00
63,30.67754,104.09535,1549,3771,0.35,8.00
67,30.66956,104.06481,187,8228,0.85,8.00
71,30.663385,104.072815,1774,5276,0.27,8.00
75,30.6519,104.06583,2593,8716,1.82,9.65
79,30.62475,104.10192,1512,11599,1.84,9.68
83,30.629677,104.05871,556,8246,0.23,8.00
87,30.65254,104.11097,2756,13294,0.03,8.00
91,30.63996,104.1056,267,12332,0.57,8.00
95,30.810617,104.17939,962,7650,0.30,8.00
99,30.48545,104.05901,849,9965,0.03,8.00
103,30.650211,104.085495,3845,7739,0.39,8.00
107,30.707705,104.099304,5388,6836,0.86,8.00
111,30.67089,104.12544,589,1901,0.26,8.00
115,30.66899,103.98452,2106,11884,1.28,8.56
119,30.68508,104.07571,611,11949,0.45,8.00
123,30.66622,104.04005,382,9534,1.42,8.84
127,30.577517,103.958466,2065,4605,0.01,8.00
131,30.64277,104.09434,2411,7109,1.54,9.08
135,30.649319,104.06638,1876,10273,1.22,8.44
139,30.661234,104.113884,827,9007,2.27,10.53
143,30.70082,104.1082,2760,12843,1.65,9.30
147,30.66219,104.0782,5242,8811,1.87,9.74
151,30.70414,104.05506,5745,8927,0.98,8.00
155,30.65476,104.080185,441,6774,0.54,8.00
159,30.69978,104.11574,2031,7168,0.68,8.00
163,30.69499,104.06643,3098,12302,1.83,9.65
167,30.69344,104.08676,6063,6976,0.22,8.00
171,30.67277,104.12487,5905,4229,1.05,8.10
175,30.70024,104.07151,104,4783,1.37,8.73
179,30.70042,104.10851,23,9662,0.29,8.00
183,30.67591,104.09445,325,8350,1.45,8.90
187,30.65843,104.05839,1988,8730,1.39,8.78
191,30.71389,104.1068,842,1358,0.30,8.00
195,30.65128,104.08056,1678,6524,2.61,11.22
199,30.66486,104.07319,3175,7378,1.09,8.18
203,30.63691,104.01492,2845,12929,0.65,8.00
207,30.68436,104.04304,11,10086,0.70,8.00
211,30.669094,104.10657,1900,11000,0.26,8.00
215,30.63879,104.08701,6076,5684,1.10,8.20
219,30.64359,104.08321,97,864,0.67,8.00
223,30.65444,104.09734,2350,10865,0.74,8.00
227,30.69935,104.09945,3888,9314,0.46,8.00
231,30.65166,104.18552,753,7738,1.81,9.61
235,30.535831,104.08859,4541,6952,0.42,8.00
239,30.6843,104.04308,2458,9417,1.42,8.84
243,30.69008,104.14774,1582,8121,0.42,8.00
247,30.7183,104.03154,4977,13331,1.53,9.07
251,30.67002,104.11503,1768,8624,0.25,8.00
255,30.64953,104.11597,3605,14092,0.16,8.00
259,30.66949,104.07099,1681,14024,1.90,9.81
263,30.69333,104.16811,3292,10165,0.05,8.00
267,30.74914,103.9814,127,13909,0.58,8.00
271,30.6478,104.0268,4142,8278,1.93,9.86
275,30.68264,104.109,5219,8485,1.87,9.75
279,30.7168,104.10473,1685,8014,0.14,8.00
283,30.65699,104.09769,3098,5599,0.50,8.00
287,30.68253,104.09073,21,13256,1.36,8.71
291,30.66891,104.10405,1697,13594,0.34,8.00
295,30.66706,104.06834,228,8501,0.27,8.00
299,30.67185,103.96367,163,7560,0.29,8.00
303,30.60798,104.13254,5374,9104,2.26,10.52
307,30.64783,104.08204,119,10989,0.08,8.00
311,30.71649,104.10512,486,11317,0.31,8.00
315,30.63879,104.08701,2709,5938,1.19,8.38
319,30.68742,104.08641,1993,9641,0.71,8.00
323,30.66968,104.07103,1233,6438,0.73,8.00
327,30.68392,104.08786,3504,11660,0.81,8.00
331,30.681906,104.08857,221,10958,2.69,11.37
335,30.70706,104.09646,708,5661,1.09,8.18
339,30.64538,104.11661,2586,9048,2.65,11.29
343,30.669,104.1031,3074,12699,0.57,8.00
347,30.66962,104.1254,1373,12305,0.24,8.00
351,30.66695,104.06568,941,1525,1.72,9.43
355,30.6245,104.0712,755,13065,2.49,10.97
359,30.68953,104.0512,1589,9255,0.04,8.00
363,30.65198,104.00868,1388,13767,1.23,8.46
367,30.66239,104.08728,320,8896,0.17,8.00
371,30.66269,104.05701,2385,9414,0.81,8.00
375,30.65446,104.06603,694,4000,1.33,8.66
379,30.67155,104.06743,350,9143,0.64,8.00
383,30.639135,104.08778,517,10138,1.37,8.74
387,30.696495,104.072365,4532,7501,1.97,9.95
391,30.68141,104.11366,3362,2218,2.52,11.04
395,30.69814,104.071625,5106,11594,0.99,8.00
399,30.64253,104.08506,2584,8614,1.85,9.69
403,30.669333,103.98452,514,12681,1.95,9.89
407,30.64253,104.08506,1975,2653,0.42,8.00
411,30.65332,104.04923,205,3159,0.55,8.00
415,30.57742,103.95848,2321,7910,0.56,8.00
419,30.62383,104.11678,1223,11909,2.07,10.15
423,30.71913,104.0377,449,8787,1.01,8.02
427,30.65326,104.07276,762,12611,2.47,10.93
431,30.700407,104.08931,2403,8625,0.94,8.00
435,30.68441,104.092,730,5020,1.61,9.23
439,30.64657,104.08497,51,5789,0.37,8.00
443,30.6735,104.05628,1089,9861,1.71,9.43
447,30.63852,104.08773,5109,6372,0.46,8.00
451,30.69247,104.0888,1293,13585,1.62,9.24
455,30.64479,104.12976,2577,6524,0.96,8.00
459,30.65199,104.07904,4255,8125,1.68,9.36
463,30.65819,104.08013,260,11461,1.41,8.82
467,30.662294,104.07724,1649,9217,0.33,8.00
471,30.718006,104.031815,419,981,3.83,13.66
475,30.55648,104.04402,1512,4809,0.87,8.00
479,30.658867,104.08739,2463,9166,0.91,8.00
483,30.68345,104.10039,1472,9811,0.59,8.00
487,30.62169,104.1041,874,6753,2.54,11.08
491,30.78248,104.1281,2630,9991,0.15,8.00
495,30.70718,104.09185,2636,5598,2.20,10.39
