parcel_id,platform_id,true_release_time,observed_release_time,true_deadline,observed_deadline,is_delayed,weight,fare,location_node,lng,lat
156144,P1,0.0,0.0,5179.0,5179.0,False,1.18,8.36,2259835274,30.625347,104.1026569
125514,P1,0.0,0.0,5879.0,5879.0,False,1.63,9.26,3034376768,30.6803432,104.0632667
148585,P1,0.0,0.0,5879.0,5879.0,False,1.63,9.26,4582821484,30.6586993,104.0469268
79187,P1,0.0,0.0,6043.0,6043.0,False,1.08,8.16,3516896165,30.666302,104.07217
122715,P1,0.0,0.0,6290.0,6290.0,False,1.03,8.06,3034409014,30.7083025,104.0963422
62616,P1,0.0,0.0,6508.0,6508.0,False,0.3,8.0,4701464741,30.6147341,104.0614387
4951,P1,0.0,0.0,6826.0,6826.0,False,1.73,9.46,4107378165,30.6530368,103.9938532
53394,P1,0.0,0.0,6826.0,6826.0,False,1.73,9.46,4106681950,30.6285321,104.0031409
206745,P1,0.0,0.0,7947.0,7947.0,False,0.15,8.0,5141468741,30.632838,104.0958399
165904,P1,0.0,0.0,8457.0,8457.0,False,1.18,8.36,5211368070,30.6697349,103.9706321
14930,P1,0.0,0.0,9219.0,9219.0,False,1.13,8.26,4118527510,30.7016943,104.1009642
104211,P1,0.0,0.0,10867.0,10867.0,False,1.22,8.44,4978440954,30.678392,104.07832
190392,P1,0.0,0.0,12375.0,12375.0,False,0.08,8.0,314622896,30.6548869,104.0664771
209363,P1,0.0,0.0,12436.0,12436.0,False,0.27,8.0,4548211469,30.65974,104.0691
187682,P1,1.0,1.0,6596.0,6596.0,False,1.12,8.24,2956775842,30.7235112,104.0463086
119706,P1,1.0,1.0,7384.0,7384.0,False,1.73,9.46,5141468655,30.6403814,104.0950548
168368,P1,1.0,1.0,7929.0,7929.0,False,0.05,8.0,432442881,30.6852111,103.9833107
19428,P1,1.0,1.0,11371.0,11371.0,False,0.73,8.0,2722829540,30.7069207,104.0472663
30147,P1,1.0,1.0,12627.0,12627.0,False,0.36,8.0,4548211362,30.67698,104.05262
36067,P1,1.0,1.0,13501.0,13501.0,False,0.95,8.0,1964418552,30.66768,104.09873
30023,P1,1.0,1.0,13949.0,13949.0,False,0.24,8.0,1458570754,30.6901935,104.095233
33783,P1,1.0,1.0,13949.0,13949.0,False,0.24,8.0,5211368068,30.6684739,103.9724603
161384,P1,2.0,2.0,981.0,981.0,False,1.89,9.78,4987534962,30.622065,104.006195
179227,P1,2.0,2.0,7476.0,7476.0,False,0.54,8.0,2041527471,30.6913485,104.0974473
141025,P1,2.0,2.0,8115.0,8115.0,False,1.54,9.08,4695640694,30.6149107,104.0278084
137603,P1,3.0,3.0,5739.0,5739.0,False,0.8,8.0,314623162,30.657412,104.066414
186599,P1,3.0,3.0,7041.0,7041.0,False,1.1,8.2,3034409014,30.70882,104.09647
49135,P1,3.0,3.0,9084.0,9084.0,False,1.83,9.66,3562045369,30.7155573,104.0721401
27722,P1,3.0,3.0,9240.0,9240.0,False,0.85,8.0,4903112584,30.6605251,104.0799145
143894,P1,3.0,3.0,10378.0,10378.0,False,1.22,8.44,5211343335,30.6411655,104.0115981
645,P1,3.0,3.0,13970.0,13970.0,False,2.15,10.3,1918491708,30.6316005,104.0069373
131507,P1,4.0,4.0,4142.0,4142.0,False,0.35,8.0,4118527280,30.6829899,104.0634187
92120,P1,4.0,4.0,6828.0,6828.0,False,0.98,8.0,432432620,30.6570026,104.0302594
